@relation FuncionCuadratica

@attribute controlVar0 numeric
@attribute controlVar1 numeric
@attribute controlVar2 numeric
@attribute controlVar3 numeric
@attribute controlVar4 numeric
@attribute controlVar5 numeric
@attribute varObjetivo numeric

@data
-100,0,9.070697,20.349563,-36.282705,160.729004,210.648682
-100,0,6.790637,34.760214,-27.203705,147.545486,188.516541
-100,0,-44.223663,25.855554,6.908279,112.511177,104.907936
-100,0,-55.620193,25.809408,53.050299,57.381344,54.457436
-100,0,-20.701633,24.84144,82.806643,0,21.21138
-100,0,46.260967,34.777208,94.399859,57.381302,131.276382
-100,0,51.46352,30.606325,22.417752,112.511154,158.693207
-100,0,0.748669,24.89788,-2.994686,147.545486,107.067444
-100,0,8.045997,50.366064,-32.147718,135.186279,201.57428
-100,0,-55.713364,43.218534,-4.20114,106.38269,146.066925
-100,0,-64.313118,40.292456,55.536642,55.064838,74.529793
-100,0,-23.927799,40.676756,95.710734,0,35.343834
-100,0,47.755653,50.12483,95.844111,55.064793,134.135895
-100,0,26.244576,32.351004,30.199614,106.382675,79.767006
-100,0,0.44497,19.089119,-12.224759,155.203705,132.455048
-100,0,5.971172,6.380208,-26.548376,175.50766,203.083572
-100,0,-71.27993,5.217306,-5.796189,119.847679,184.036057
-100,0,-58.526108,3.992375,65.912775,59.949173,53.342194
-100,0,-20.876045,4.071115,101.949328,0,22.43712
-100,0,46.579697,4.971882,101.666682,59.949158,116.38047
-100,0,56.150455,4.686874,29.16152,119.847649,159.841644
-100,0,0.29112,7.603655,-1.455685,169.937042,127.234612
-100,0,4.514635,16.847727,-20.15398,164.36644,181.582794
-100,0,-33.759201,11.402939,27.18768,118.180687,56.065548
-100,0,-83.560699,17.479015,73.353113,59.386215,98.73185
-100,0,-21.339174,14.566476,104.220888,0,24.752666
-100,0,19.16251,12.329835,75.629145,59.386189,50.73608
-100,0,47.629292,15.351913,30.504812,118.180649,137.167648
-100,0,1.722809,21.067362,-8.614237,158.940231,149.751358
-100,0,-2.627286,21.470884,11.139,153.514038,84.879532
-100,0,-242.275269,84.513071,-155.891027,114.915581,768.962158
-100,0,-111.109764,36.480261,82.81283,58.248318,145.085449
-100,0,-24.832504,30.422354,126.159174,0,46.647339
-100,0,14.569193,19.779276,71.070429,58.248291,39.196327
-100,0,19.588552,22.413862,39.990401,112.908714,59.462841
-100,0,-4.213914,21.836464,21.069357,148.318741,58.985294
-100,0,4.909871,43.106134,-26.378429,143.123474,200.024628
-100,0,-56.405243,37.687769,9.624042,110.484123,125.229698
-100,0,-57.041428,32.694651,64.589907,56.631802,51.947025
-100,0,-21.479286,36.51465,107.396387,0,31.226997
-100,0,20.712597,30.631899,76.991457,56.631783,54.529526
-100,0,46.106861,27.054571,46.632479,100.485268,114.03788
